,time,lat,lon,alt,pol,mds,mcg,status,region,delay,geometry
64,2020-04-12 14:27:17.102547700,31.664279,-94.572488,0,0,5623,178,0,3,8.0,POINT (-94.57248800000001 31.664279)
65,2020-04-12 14:27:17.267541500,32.164724,-94.2468,0,0,9692,168,0,3,8.0,POINT (-94.24679999999999 32.164724)
66,2020-04-12 14:27:18.617920500,35.185231,-88.265705,0,0,10060,148,0,3,7.2,POINT (-88.265705 35.185231)
67,2020-04-12 14:27:18.617930200,35.192305,-88.288251,0,0,4665,165,0,3,7.3,POINT (-88.288251 35.192305)
68,2020-04-12 14:27:18.617931000,35.192952,-88.288955,0,0,4665,113,0,3,7.4,POINT (-88.288955 35.192952)
69,2020-04-12 14:27:18.617945900,35.226435,-88.282453,0,0,7335,204,0,3,7.5,POINT (-88.282453 35.226435)
70,2020-04-12 14:27:18.680394500,35.206126,-88.232501,0,0,5960,267,0,3,8.1,POINT (-88.232501 35.206126)
71,2020-04-12 14:27:18.711544000,35.190904,-88.259029,0,0,4211,213,0,3,8.1,POINT (-88.259029 35.190904)
72,2020-04-12 14:27:18.968546300,35.064985,-87.411226,0,0,6457,199,0,3,8.0,POINT (-87.411226 35.064985)
73,2020-04-12 14:27:19.023438600,35.025971,-87.449685,0,0,8563,213,0,3,8.0,POINT (-87.449685 35.025971)
74,2020-04-12 14:27:19.342519000,32.082898,-94.212466,0,0,13639,130,0,3,8.1,POINT (-94.21246600000001 32.082898)
75,2020-04-12 14:27:19.342534100,32.136056,-94.172996,0,0,5806,103,0,3,8.2,POINT (-94.172996 32.136056)
76,2020-04-12 14:27:19.648088300,34.77575,-87.986126,0,0,13813,170,0,3,8.0,POINT (-87.986126 34.77575)
77,2020-04-12 14:27:19.648120300,34.861979,-87.966596,0,0,10742,192,0,3,8.1,POINT (-87.966596 34.861979)
78,2020-04-12 14:27:20.373208600,31.596468,-94.722451,0,0,7793,236,0,3,7.9,POINT (-94.72245100000001 31.596468)
79,2020-04-12 14:27:21.690886000,34.423845,-91.792957,0,0,12914,251,0,3,6.8,POINT (-91.792957 34.423845)
80,2020-04-12 14:27:21.690893800,34.249398,-91.744589,0,0,12599,153,0,3,6.9,POINT (-91.744589 34.249398)
81,2020-04-12 14:27:21.999146200,33.086098,-91.206251,0,0,8381,205,0,3,6.6,POINT (-91.20625099999999 33.086098)
82,2020-04-12 14:27:21.999166500,33.037977,-91.22858,0,0,12661,186,0,3,6.9,POINT (-91.22857999999999 33.037977)
83,2020-04-12 14:27:25.991574300,47.410401,-0.719099,0,0,9389,81,0,1,3.8,POINT (-0.719099 47.410401)
84,2020-04-12 14:27:22.074498000,34.420288,-90.263591,0,0,4619,119,0,3,8.0,POINT (-90.26359100000001 34.420288)
